"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RNF180",4.31594095247458e-38,-50.0594488050595,0.288,0.447,1.57743325871993e-33
"CMC2",4.32270673229767e-38,-20.0506399875561,0.306,0.458,1.57990608358748e-33
"GALNT12",4.38438990721226e-38,1.82454027943913,0.052,0.014,1.60245066718701e-33
"EOMES",4.48257603718279e-38,-45.7225825351123,0.01,0.113,1.63833671582994e-33
"ACTR3B",5.04938740979198e-38,-47.1755190279378,0.219,0.363,1.84550060440487e-33
"ENSG00000259001",5.23667611805166e-38,-2.08943222549733,0.294,0.17,1.9139527543867e-33
"NUP93",5.24751988230149e-38,-22.6152242664353,0.291,0.438,1.91791604178237e-33
"BAZ2A",5.25161269545395e-38,3.14415439508022,0.446,0.316,1.91941192406147e-33
"GPC5-AS1",5.45168754454668e-38,2.50720585629775,0.044,0.01,1.99253728065637e-33
"CCDC144NL",5.60666804619889e-38,-2.61238605401742,0.285,0.166,2.04918110420523e-33
"MEGF10",5.7569287385912e-38,-12.6473007751015,0.101,0.241,2.1040998846677e-33
"SLC25A24",5.90737476081402e-38,4.27619340996261,0.377,0.25,2.15908640132992e-33
"MTRNR2L6",6.13139626999432e-38,-75.5095677147008,0.513,0.644,2.24096402272022e-33
"H1-0",6.48790359608642e-38,-26.4822616895454,0.083,0.216,2.37126388533363e-33
"SAMD8",6.98433065432289e-38,-6.63781464498267,0.271,0.423,2.55270301084847e-33
"TIMP3",7.12824539544481e-38,-73.1553303084118,0.082,0.212,2.60530240958112e-33
"HSPH1",7.71835091435323e-38,-94.7860729684911,0.31,0.45,2.82098007568696e-33
"FAM171B",7.80297261293802e-38,-91.9005697106085,0.454,0.6,2.85190846030272e-33
"LOC121725015",7.97725727703494e-38,-4.83557779041655,0.004,0.103,2.9156077621835e-33
"YES1",8.14444825061446e-38,-0.644743678571619,0.267,0.418,2.97671439111708e-33
"MAPKAPK5-AS1",8.23653900421295e-38,-0.706026964346259,0.406,0.278,3.01037264064979e-33
"LINC01933",8.72453394381262e-38,-53.3272884631368,0.054,0.015,3.18872991112407e-33
"CLUAP1",8.83084748777491e-38,-63.3378099915403,0.449,0.311,3.22758644830685e-33
"NENF",8.93781821792757e-38,-1.17607152687798,0.527,0.377,3.26668318047035e-33
"TENM2",9.30299392478753e-38,99.9775847670267,0.317,0.199,3.40015124957059e-33
"NECAP1",1.05326239040446e-37,0.177294043785118,0.473,0.339,3.84956871068927e-33
"TMEM138",1.06080942647849e-37,-3.00386894885911,0.233,0.127,3.87715237283624e-33
"UGP2",1.06344766663097e-37,-74.2588084849008,0.283,0.422,3.88679487676952e-33
"SIAH2",1.13627411310663e-37,-1.88723260344861,0.085,0.221,4.15296825599342e-33
"ENSG00000237457",1.19687946623709e-37,-7.34867735182783,0.014,0.118,4.37447476114993e-33
"PLEKHG1",1.25087214785043e-37,-75.4230351238733,0.168,0.311,4.57181261317854e-33
"GPT2",1.33873954936448e-37,-4.93943878394077,0.125,0.266,4.89295917897224e-33
"CKS1B",1.35600595492046e-37,-41.3043323811065,0.101,0.231,4.95606616463878e-33
"H2AC11",1.37173448227239e-37,-109.22073569005,0.022,0.13,5.01355235925737e-33
"ANK2",1.39286743335449e-37,-137.212250916046,0.726,0.855,5.09079118216732e-33
"BTN3A1",1.42357668949434e-37,-2.96976610179902,0.031,0.144,5.20303044243287e-33
"NPPB",1.44051578924531e-37,-92.5471304205844,0.011,0.001,5.26494115811269e-33
"CENPO",1.48988281190445e-37,-4.5122659633637,0.027,0.137,5.44537268922958e-33
"PSMB8",1.50048834564134e-37,-5.71891893626596,0.009,0.111,5.48413485448454e-33
"STK17B",1.53971587869121e-37,-7.74233918734461,0.015,0.12,5.62750756502851e-33
"UNC5B",1.65385259575582e-37,-26.9736253431289,0.021,0.13,6.04466585222795e-33
"FDFT1",1.66412860621506e-37,-51.766735728545,0.279,0.429,6.08222364285541e-33
"ENSG00000269889",1.66496463122087e-37,3.0371189274418,0.016,0.002,6.08527923064916e-33
"MICAL3",1.78425149331988e-37,-23.7929898056743,0.261,0.415,6.52126078293484e-33
"CDCA7L",1.79259651600101e-37,-3.20040474094098,0.081,0.211,6.5517610063321e-33
"LRP10",1.94601949224292e-37,-2.78274320547548,0.059,0.182,7.11250664219864e-33
"STARD10",1.9729195509661e-37,-0.21102585709098,0.143,0.064,7.21082366682602e-33
"UGCG",1.97930970722302e-37,3.34764280983943,0.471,0.352,7.23417904892942e-33
"ENSG00000225177",2.03971577665039e-37,-14.9176164717267,0.047,0.165,7.4549571920795e-33
